original_title,year,acquisition_type,film_stock_or_camera_type,verification_status,source_or_basis,source_url,uncertainty_note
The Disaster Artist (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Dreamers (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Drop (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Emperors New Groove (2000),2000,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The English Patient (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Equalizer (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Fall (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Father (2020),2020,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Favourite (2018),2018,Film,"35 mm; Arricam LT/ST, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Fifth Element Remastered (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Fighter (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Florida Project (2017),2017,Film,"35 mm; Arricam LT, Kodak Vision3",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Founder (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Fountian (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The French Connection (1971),1971,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Fugitive (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Full Monty (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Game (1997),1997,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Gentlemen (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Ghost Writer (2010,2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Gift (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Girl with the Dragon Tattoo (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Godfather Part 3 (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Grand Budapest Hotel (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Greatest Showman (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Green Mile (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Hateful Eight (2015),2015,Film,Ultra Panavision 70 / 65 mm; Kodak Vision3,Source-backed,ASC production coverage,https://theasc.com/articles/panavision-at-70,
The Help (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Hobbit An Unexpected Journey (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Hobbit The Battle of the Five Armies (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Hobbit The Desolation of Smaug (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Hours (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Hunchback of Notre Dame (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Hunger Games (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Hunger Games Catching Fire (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Hunt for Red October (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Hurricane (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Hurt Locker (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Ides of March (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Illusionist (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Imitation Game (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Impossible (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Incredibles (2004),2004,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Intern (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Irishman (2019),2019,Digital,ARRI Alexa LF,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Iron Giant (1999),1999,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Italian Job (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Jacket (2005),2005,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Judge (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Jungle Book (2016),2016,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Karate Kid (1984),1984,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Karate Kid (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Kids Are All Right (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Killing Of A Sacred Deer (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The King (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Kingdom (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Kings Speech (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The LEGO Batman Movie (2017),2017,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Last Boy Scout (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Last Duel (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Last King of Scotland (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Last Samurai (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Last of the Mohicans DDC (1992),1992,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Lego Movie (2014),2014,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Life Aquatic with Steve Zissou (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Life Of David Gale (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Lighthouse (2019),2019,Film,35 mm black-and-white; Kodak Double-X 5222,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Lincoln Lawyer (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Little Mermaid (2023),2023,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Lobster (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Lord Of The Rings The Fellowship Of The Ring (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Lord Of The Rings The Return Of The King (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Lord Of The Rings The Two Towers (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Machinist (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Man From U.N.C.L.E. (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Man From the Earth (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Man Who Wasnt There (2001),2001,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Martian (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Master (2012),2012,Film,65 mm and 35 mm; Panavision System 65 / Kodak,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Matrix (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Mitchells Vs The Machines (2021),2021,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Mule (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Mummy (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Next Three Days (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Nightmare Before Christmas (1993),1993,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Northman (2022),2022,Digital,ARRI Alexa LF,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Notebook (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Passion Of The Christ (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Patriot Extended Cut (2000),2000,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Perks of Being a Wallflower (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Phantom of the Opera (2004),2004,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Pianist (2002),2002,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Place Beyond the Pines (2012),2012,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Post (2017),2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Prestige (2006),2006,Film,"35 mm; Panavision cameras, Kodak",Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Prince Of Egypt (1998),1998,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Princess Bride (1987),1987,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Princess and the Frog (2009),2009,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Pursuit of Happyness (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Queen (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Reader (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Revenant (2015),2015,Digital,ARRI Alexa 65,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Road (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Rock (1996),1996,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The School of Rock (2003),2003,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Sea Beast (2022),2022,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Secret Life Of Pets (2016),2016,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Secret Life Of Pets 2 (2019),2019,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Shape Of Water (2017),2017,Digital,ARRI Alexa XT Plus,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Silence Of The Lambs (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Simpsons Movie (2007),2007,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Sixth Sense (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Spectacular Now (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Suicide Squad (2021),2021,Digital,RED Ranger Monstro / Panavision,Technical-source lead,ASC production coverage,,Technical detail is a curated lead; recheck against the cited production source before using as a ground-truth training label.
The Super Mario Bros. Movie (2023),2023,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Talented Mr. Ripley (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Theory of Everything (2014),2014,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Thin Red Line (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Time Travelers Wife (2009),2009,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Town EXTENDED (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Trial Of The Chicago 7 (2020),2020,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Two Popes (2019),2019,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Unforgivable (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Usual Suspects (1995),1995,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Virgin Suicides (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The Walk (2015),2015,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Warriors (1979),1979,Animation/CGI,Animated / CGI production (no live-action acquisition medium),Title-level classification,Film identity / release information,,Some hybrid titles may contain photographed elements.
The Way Back (2010),2010,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
The Way Way Back (2013),2013,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
The Wrestler (2008),2008,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
The X Files (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Thelma And Louise (1991),1991,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
There Will Be Blood (2007),2007,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Theres Something About Mary EXTENDED (1998),1998,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
They Live (1988),1988,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
This Is England (2006),2006,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Thor (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
"Three Billboards Outside Ebbing, Missouri (2017)",2017,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Three Kings (1999),1999,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Tick Tick...Boom (2021),2021,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Tinker Tailor Soldier Spy (2011),2011,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Low-confidence transition-era estimate. Film acquisition remained common in 2010–2011; verify before using as a ground-truth label.
To All The Boys Ive Loved Before (2018),2018,Digital,Likely digital cinema camera; exact model unverified,Era-based estimate,Release era; requires technical-spec verification,,Moderate-confidence release-era estimate only; exceptions include productions deliberately shot on film.
Tombstone (1993),1993,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
Total Recall (1990),1990,Film,Likely 35 mm photochemical acquisition; exact camera/stock unverified,Era-based estimate,Release era; requires technical-spec verification,,"High-confidence historical inference for a live-action theatrical feature, but not a source-verified camera record."
